code,lecture,workload,personality,overall,challenge,learning
CS1100,3.9768359171041348,9.508196721311476,3.770798701995438,4.049662469105474,4.091716035838201,4.045335134965082
CS1200,4.293875982345601,4.0,4.110724617831114,4.427856663106339,3.3783928844085604,3.889749493383254
CS1210,4.21723926729553,4.0,3.9684418912593786,4.347708117959912,3.372293148150043,3.870195889159403
CS1500,4.360664886116056,9.833333333333334,3.881695131908947,4.324850034087973,4.337263529193354,4.413463587052518
CS1800,4.003122180072375,10.411764705882353,3.6836816804447334,4.028920733200503,4.172669164561704,3.981839053144814
CS2000,4.43312263379294,10.8,4.1871450554995695,4.397618630778114,4.199136250138405,4.349937956734518
CS2500,4.308036020956986,14.0,3.9526125402698975,4.346101487269196,4.357522628322051,4.278736914061403
CS2510,4.097904260863934,16.060606060606062,3.8240793836888423,4.09469976762273,4.320041095899195,4.136491151497969
CS2550,4.741071428571429,12.0,4.7477954144620815,4.803571428571429,4.545634920634921,4.673469387755101
CS2800,4.203681931396227,12.6,3.8314901598315374,4.210045835521692,4.263465565574972,4.151552996671182
CS3000,4.472917260208927,12.0,4.576574865463755,4.507834757834758,4.6409608909608915,4.4675562092228756
CS3200,4.1287671057063395,9.88888888888889,4.032947278233402,4.182404410381952,4.134726190374263,4.138063996948454
CS3500,4.189142028872173,18.666666666666668,4.0219480772936445,4.278723568506511,4.2792002450319835,4.151097814646218
CS3520,4.011730695900105,10.666666666666666,3.9000556451536847,4.011283891547049,4.094677885467359,3.9944393586780804
CS3540,3.767533661191749,9.333333333333334,3.700731580510992,4.032887700534759,3.866644385026738,3.867275546582269
CS3650,4.288339993829086,13.875,4.1129136676842935,4.365335597360146,4.459822717020233,4.278174384955447
CS3700,4.341467400278416,15.0,4.07830971906959,4.39288209734611,4.516917547034231,4.359741800699184
CS3740,4.4071428571428575,8.0,4.3809523809523805,4.214285714285714,4.095238095238095,3.9959183673469387
CS3800,4.140900261058347,11.285714285714286,3.91815537035828,4.103410584539738,4.416424733486525,4.129993096836538
CS4100,3.9556320134072833,12.714285714285714,3.9117226650298575,3.973482866383876,4.216916265019693,4.0520057775269915
CS4120,3.7370692982521905,13.333333333333334,3.5854333876151503,3.5658838383838383,3.9363409758150616,3.6696480832395957
CS4150,3.6288096482062002,12.666666666666666,3.5704516428654363,3.6465623981753015,3.9513173608001195,3.679822859133204
CS4170,4.65625,12.0,4.625,4.875,4.625,4.678571428571429
CS4200,4.128702090592335,9.0,4.220704904851246,4.209164488966318,3.9316891695702676,3.9182025184913507
CS4240,4.296875,12.0,4.395833333333333,4.375,4.125,4.354591836734694
CS4300,4.411457468021615,11.125,4.1971349052365605,4.530755868841518,4.238458128001293,4.334642226428563
CS4400,4.042752468052493,11.636363636363637,4.0168199132459455,4.02238266119845,4.375867821262558,4.084527122839933
CS4410,4.679153311965813,19.0,4.265705128205128,4.856089743589743,4.709819347319348,4.622939560439561
CS4420,4.302083333333333,16.0,4.513888888888888,4.125,4.5,4.2435064935064934
CS4500,3.8796736509184453,14.5,3.7654697428171473,3.9726104859506797,3.797035146811324,3.6818969502433982
CS4520,4.052906683833408,20.0,3.4948814223239513,3.974137931034483,4.313479623824452,4.1093692614628585
CS4550,4.292075526680731,17.166666666666668,3.9994447241235824,4.3675219155082585,4.321929200390254,4.283221391893435
CS4610,3.819444444444444,10.0,3.7253086419753085,3.8287037037037037,4.173611111111111,3.9576719576719577
CS4620,3.91875,16.0,4.058333333333334,4.5,4.5,3.992857142857143
CS4700,4.242932736728454,15.333333333333334,3.850561933988391,4.213809433002797,4.363019338805952,4.244961456001772
CS4740,4.259411718747328,14.571428571428571,3.9268198946245163,4.236579631852741,4.377090836334533,4.262380141311715
CS4770,4.756547619047619,12.0,4.400396825396825,4.816666666666666,4.612179487179487,4.724699110413396
CS4800,3.998700377985697,13.416666666666666,3.717602117144832,3.9656792549423456,4.33557467136372,4.0551941413033905
CS4820,4.583333333333333,16.0,4.62962962962963,4.666666666666667,4.722222222222222,4.571428571428571
CS4850,4.186447811447812,11.333333333333334,3.9167267917267914,4.285774410774411,4.1577292533174885,4.163961038961038
CS4900,4.25014880952381,12.0,3.9142857142857146,4.364880952380953,4.317857142857143,4.332936507936509
CS5001,4.270402806763317,14.89655172413793,4.090054437394268,4.312786448120837,4.1228583673297345,4.221308601096812
CS5002,3.881331155105648,14.833333333333334,3.9359795153634463,3.841343547425535,4.160853991088401,3.9636895402736236
CS5004,4.18171894935352,18.0,3.9280115202329875,4.183143505799755,4.2472314321618985,4.215642041376193
CS5006,3.7815756564091214,14.380952380952381,3.7651878253203575,3.720066211439717,3.8465211275623483,3.817220973316044
CS5007,3.674395937523984,11.529411764705882,3.642757303917256,3.6131397928485747,3.890230179627988,3.70064351642834
CS5010,4.076660578322323,18.382978723404257,3.940454298631597,4.1093145664821975,4.04339589026478,4.002911599287367
CS5020,4.248484848484849,13.333333333333334,4.207623857623857,4.181349206349206,4.345021645021645,4.2000011452392405
CS5040,4.633442460317459,12.4,4.273611111111111,4.791666666666667,4.395277777777778,4.546269841269842
CS5082,3.4583333333333335,12.0,3.75,3.833333333333333,4.166666666666666,3.7857142857142856
CS5083,4.1875,12.0,4.416666666666667,4.0,3.0,4.071428571428571
CS5100,3.934826332170243,14.4,3.8836061207202843,3.8953526963325915,4.1582505547897295,4.041995023159848
CS5110,4.463153760873412,13.0,4.447968921732186,4.461131343984963,4.258231853176909,4.381883366347273
CS5120,4.444643826771019,11.555555555555555,4.0999037992674054,4.4470418876120625,4.236077486516082,4.328066371793337
CS5130,4.248287955089773,14.0,4.021020584439111,4.27521573476388,4.279878471745984,4.266550641923932
CS5150,4.052818679741336,14.727272727272727,3.798713677219578,4.100396966612251,4.1891373272850325,4.100345968414183
CS5200,4.205089397927915,13.052631578947368,4.018264239031213,4.156212776393519,4.009466243604237,4.126958592028808
CS5210,3.843938644667303,13.777777777777779,3.597265575563278,3.8302841281703244,3.8501211851279464,3.842170042003084
CS5220,4.102201660378017,17.2,3.9869722678343367,4.08200328407225,4.295827175697865,4.0879307974106736
CS5230,4.435645424836601,17.333333333333332,4.557886710239651,4.435457516339869,4.397718676122931,4.387893144082402
CS5240,4.310168493514767,12.285714285714286,3.7738611026654505,4.236727584010193,4.154631419305333,4.2895146852555905
CS5250,3.565224358974359,14.0,3.3453120953120954,3.419871794871795,3.358974358974359,3.3821733821733826
CS5310,4.518038054435484,14.0,4.374406362007169,4.51796875,4.438844086021505,4.41136712749616
CS5330,3.897222222222222,14.0,3.802777777777778,3.675,4.025,3.8825396825396825
CS5335,4.131944444444444,11.333333333333334,3.8743827160493827,4.223148148148147,4.300718094255246,4.202116402116403
CS5340,4.349030945467141,13.333333333333334,4.209491486124155,4.3875410208071495,3.99863739158094,4.215344935220748
CS5400,4.2982840542448075,11.142857142857142,3.9539921398727897,4.478646019811434,4.523387528650686,4.3004293579935275
CS5500,4.123780812646751,15.185185185185185,3.8768720696095063,4.1070054290790985,3.9296749460692704,3.9841314556048792
CS5520,3.9276977553473493,15.666666666666666,3.7933372625337918,3.805268199233717,4.102743568691845,4.000204040747844
CS5600,4.329470869135518,18.0,4.107313780003698,4.391379562922496,4.502371977568253,4.3117321562498185
CS5610,4.358881306956108,16.64,3.9890766948378196,4.355687275902928,4.294061775553817,4.345535246998516
CS5700,4.320850757440376,16.444444444444443,3.9802249843641277,4.3246398097472145,4.368471474775453,4.3018607679383365
CS5770,4.13721333443855,13.666666666666666,3.7149453941120605,4.110884343053461,4.263101223395341,4.124248595086363
CS5800,4.1885445355628805,16.473684210526315,3.9416237294494336,4.146512756619257,4.3617085537224884,4.207540048410022
CS5850,4.022648358585859,13.0,3.809072871572872,3.9955808080808084,3.9307969399881166,3.9711850649350646
CS6120,3.935357227922226,13.6,3.6698988961421635,3.905590909090909,4.044271358482125,3.885935124721611
CS6130,4.46875,14.0,3.875,4.375,4.1875,4.285714285714286
CS6140,4.111084792497736,17.058823529411764,3.9425852581522585,3.992704724646021,4.361315506115273,4.111420438849828
CS6200,4.35365966015495,15.217391304347826,4.116874496291266,4.296122302781377,4.262573437789922,4.3335958880631775
CS6220,4.231167942105551,14.4,4.016894421125034,4.247678374630312,4.2252488605024805,4.188092851757026
CS6240,4.378677081031904,18.0,3.986358426786393,4.387744626057928,4.43560834274824,4.397868536110502
CS6350,4.525778619528619,12.0,3.999909222948439,4.422979797979798,4.343013468013468,4.41919191919192
CS6410,3.9864575702075706,18.4,3.7093894993894994,4.08058608058608,4.274998334998335,4.1905058433629865
CS6510,4.596527777777778,16.666666666666668,4.201058201058201,4.521825396825396,4.4940476190476195,4.566780045351473
CS6620,4.125892857142857,12.0,4.136111111111111,4.0476190476190474,4.154761904761905,4.137074829931973
CS6650,4.445475035442141,18.333333333333332,4.3666710969342555,4.550201577175262,4.578539783802942,4.473253208779525
CS6710,3.9256944444444444,10.666666666666666,3.625,3.8861111111111115,4.211363636363636,3.882828282828283
CS6740,4.376078385413995,14.857142857142858,4.017296085100707,4.317532012805122,4.350900360144058,4.3576182365498095
CS6750,4.436309523809524,15.333333333333334,4.045634920634921,4.4944444444444445,4.316452991452992,4.312497819640677
CS6800,4.944368131868133,12.0,4.1300366300366305,5.0,4.785714285714286,4.916012558869702
CS7140,4.261151960784314,14.0,4.0741285403050105,4.3277777777777775,4.456862745098039,4.226237161531278
CS7180,4.630260485287659,13.0,4.30469001610306,4.660968379446641,4.605988455988456,4.572556308425874
CS7280,4.439702831890331,15.0,3.8272576960076963,4.3987554112554115,4.456448412698413,4.326110595753453
CS7290,4.44185606060606,15.0,4.617424242424242,4.359848484848485,4.405303030303031,4.414718614718614
CS7340,3.6609848484848486,16.0,4.388888888888889,3.625,3.5454545454545454,3.491341991341991
CS7400,4.134579425204425,16.0,3.8078904120570787,3.9936868686868685,4.054834054834054,3.9520803270803264
CS7480,4.739583333333333,10.5,4.116666666666666,4.754166666666666,4.5875,4.621428571428571
CS7485,4.565277777777777,13.333333333333334,4.356172839506173,4.777777777777779,4.607407407407408,4.48095238095238
CS7580,4.505952380952381,8.0,4.3730158730158735,4.476190476190476,4.25,4.36734693877551
CS7600,4.035008955505279,13.0,4.077686270700977,4.0146587481146305,4.05933450740436,4.023078228960582
CS7610,4.394886363636363,16.0,4.652777777777778,4.416666666666667,4.78030303030303,4.422077922077922
CS7680,4.566964285714286,14.8,4.057936507936509,4.58452380952381,4.51547619047619,4.557142857142857
CS7780,4.743303571428571,12.0,4.366071428571429,4.836309523809524,4.722402597402597,4.614718614718615
CS7800,4.495715990128723,16.0,4.130335315126336,4.574985686827792,4.508548211334589,4.390125738063597
CS7805,4.209606481481482,14.666666666666666,3.8376543209876544,4.1499999999999995,4.270833333333333,4.151455026455027
CS7810,4.692212301587302,12.0,4.592261904761905,4.944444444444445,4.583333333333334,4.622448979591837
CS7880,4.7837499999999995,13.6,4.35888888888889,4.871666666666667,4.7490476190476185,4.773333333333333
